"","Where","cases","deaths","AIANNHCE","AIANNHNS","GEOID","NAMELSAD","ALAND","AWATER","tot_pop","Shape_Length","Shape_Area","deathrate","caserate","Country_Region","Last_Update","Lat","Long_","Recovered","Active","FIPS","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate"
"1","Colorado River Indian Reservation",22,NA,735,22753,"0735R","Colorado River Indian Reservation",1184890271,17238466,9929,1.862978855,0.117217957,NA,221.573169503475,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Fort Berthold Indian Reservation",36,NA,1160,1934325,"1160R","Fort Berthold Reservation",3416518162,682427848,7260,3.29588328,0.491578608,NA,495.867768595041,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Ho-Chunk Nation",13,2,1450,2418963,"1450R","Ho-Chunk Nation Reservation",8887614,72893,1632,0.448208142,0.000998905,122.549019607843,796.56862745098,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Hopi",67,NA,1505,24001,"1505R","Hopi Reservation",6557654678,2407606,9227,6.693155044,0.655003471,NA,726.129836349843,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Kewa Pueblo",66,NA,3585,937201,"3585R","Santo Domingo Pueblo",274758135,641684,3192,0.900520245,0.027368606,NA,2067.66917293233,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Lummi",41,NA,2070,1511578,"2070R","Lummi Reservation",54064330,43298416,5583,0.483799758,0.011910017,NA,734.372201325452,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Mashpee Wampanoag",11,NA,2147,2786720,"2147T","Mashpee Wampanoag Trust Land",1276676,16972,0,0.156658671,0.000140005,NA,Inf,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Navajo Nation",4931,158,2430,41148,"2430R","Navajo Nation Reservation",57604513257,59775511,172875,54.44532644,5.779772125,91.3955169920463,2852.34996384671,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Pueblo of San Felipe",117,NA,3400,910614,"3400R","San Felipe Pueblo",206204425,1030782,3544,0.814862068,0.02056915,NA,3301.35440180587,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Pueblo of Zia",31,NA,4770,1934347,"4770R","Zia Pueblo",486398588,115707,934,2.051158955,0.048358128,NA,3319.05781584582,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Pueblo of Zuni",81,2,4785,1934346,"4785R","Zuni Reservation",1705153540,2906813,9560,2.970386649,0.168744585,20.9205020920502,847.280334728033,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Salt River Pima-Maricopa Indian Community",34,NA,3340,37072,"3340R","Salt River Reservation",213473946,7331902,7386,0.902601344,0.021429063,NA,460.330354725156,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Tohono O'odham Nation",28,3,4200,23763,"4200R","Tohono O'odham Nation Reservation",11535016214,883039,10761,6.966117958,1.102752583,27.8784499581823,260.198866276368,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","White Mountain Apache",1024,10,1140,4741,"1140R","Fort Apache Reservation",6799286350,15508272,15515,5.386086238,0.664471976,64.4537544311956,6600.06445375443,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Yakama Nation",90,4,4690,1502906,"4690R","Yakama Nation Reservation",5577487803,4239523,30810,4.881050137,0.651064004,12.9827977929244,292.112950340798,"Tribal Nation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Alabama",19387,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395.396053789527,"State",2020-06-06 02:33:09,32.3182,-86.9023,11395,7316,1,239473,1949,3.48687264661887,84000001,"USA",4884.02946248204,10.0531283850003
"17","Arizona",24439,1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.759722489554,"State",2020-06-06 02:33:09,33.7298,-111.4312,5298,18126,4,263865,3265,4.15319775768239,84000004,"USA",3625.15811509089,13.3597937722493
